keyword	TC	Centrality	Burst	PY	BurstBegin	BurstEnd	Span	HalfLife2	Status	WaitingTime
@PHRASE管理	13.0	0.0025743679429463136	5.9639	2011	2011	2016	6	3.5	1	0
@PHRASE社区护理	6.0	1.1169425572293024E-4	3.1356	2013	2013	2016	4	2.5	1	0
@PHRASE护理措施	8.0	1.6325307697287792E-4	3.4704	2010	2010	2016	7	2.5	1	0
@PHRASE对策	27.0	0.037673554616612294	5.3705	2010	2012	2018	7	4.5	1	2
@PHRASE社区养老	47.0	0.022025874771133987	6.0339	2014	2019	2022	4	6.5	1	5
@PHRASE公共空间	115.0	0.07337714840374394	19.2177	2017	2022	2026	5	5.5	1	5
@PHRASE干预	22.0	7.939851837562573E-4	6.626	2013	2013	2019	7	3.5	1	0
@PHRASE预防跌倒	39.0	0.024015950337988066	5.2071	2010	2012	2017	6	5.5	1	2
@PHRASE产品设计	14.0	0.002253441536449894	3.8183	2021	2023	2026	4	2.5	1	2
@PHRASE城市更新	59.0	0.0031677263235493675	17.1372	2019	2023	2026	4	4.5	1	4
@PHRASE老年患者	120.0	0.023361304509830663	11.6269	2007	2011	2017	7	8.5	1	4
@PHRASE预防	134.0	0.08115825527809584	27.2986	2005	2005	2016	12	8.5	1	0
@PHRASE原因分析	13.0	0.002322889552823491	5.4599	2010	2015	2017	3	4.5	1	5
@PHRASE老旧小区	166.0	0.018149755561196565	34.8593	2017	2022	2026	5	5.5	1	5
@PHRASE室内空间	9.0	0.0011713746808506209	3.7915	2023	2023	2026	4	0.5	1	0
@PHRASE护理安全	16.0	0.008567701933749028	7.3454	2011	2011	2016	6	0.5	1	0
@PHRASE智能家居	14.0	1.372381184614533E-4	4.7237	2022	2022	2026	5	1.5	1	0
@PHRASE改造策略	16.0	0.0023208773758351246	3.4115	2020	2020	2023	4	2.5	1	0
@PHRASE改造	55.0	0.006606363401337145	6.6473	2014	2017	2020	4	4.5	1	3
@PHRASE设计策略	38.0	0.015868273868114666	5.7194	2018	2022	2026	5	4.5	1	4
@PHRASE影响因素	56.0	0.041818628663881564	4.8027	2011	2020	2026	7	10.5	1	9
@PHRASE乡村振兴	7.0	2.61521501493888E-4	3.6184	2024	2024	2026	3	0.5	1	0
@PHRASE防范措施	7.0	2.8109386338384378E-5	3.2068	2011	2011	2016	6	0.5	1	0
@PHRASE风险评估	9.0	3.617863347967425E-4	3.7586	2012	2012	2017	6	2.5	1	0
@PHRASE预防对策	6.0	0.0034394669139944252	3.5372	2008	2008	2012	5	2.5	1	0
@PHRASE评价体系	10.0	0.0014260901134537996	5.0232	2023	2023	2024	2	-0.5	1	0
@PHRASE防跌倒	121.0	0.11226721828551676	9.6133	2005	2010	2012	3	11.5	1	5
@PHRASE神经内科	25.0	0.004230038638158333	6.6087	2012	2012	2019	8	3.5	1	0
@PHRASE护理	131.0	0.0660927688241733	14.5069	2006	2008	2015	8	9.5	1	2
@PHRASE空巢老人	8.0	7.957187524684111E-4	4.1363	2024	2024	2026	3	0.5	1	0
@PHRASE老年群体	25.0	0.002564008176319884	8.4566	2022	2022	2026	5	1.5	1	0
@PHRASE适老化	572.0	0.27990234600040326	34.349	2012	2022	2024	3	9.5	1	10
@PHRASE精神科	20.0	0.007044312975650862	8.2472	2016	2016	2019	4	1.5	1	0
@PHRASE跌倒	910.0	0.36117242522360005	38.2744	2005	2005	2017	13	11.5	1	0
@PHRASE乡村	7.0	0.006114463045762176	3.8079	2021	2021	2022	2	0.5	1	0
@PHRASE城市社区	12.0	0.002581839765295316	3.2527	2021	2021	2026	6	0.5	1	0
@PHRASE患者	6.0	9.156996402505329E-4	3.586	2011	2011	2013	3	1.5	1	0
@PHRASE老旧社区	82.0	0.04407537174411655	13.3676	2017	2021	2023	3	5.5	1	4
@PHRASE护理管理	31.0	0.018563601206711244	5.7714	2010	2019	2020	2	3.5	1	9
@PHRASE护理对策	19.0	0.0029209568583205736	4.4872	2011	2011	2019	9	3.5	1	0
@PHRASE社区更新	8.0	4.555402929462284E-5	3.3694	2023	2023	2026	4	1.5	1	0
@PHRASE心内科	28.0	0.010881574489867334	10.1721	2012	2016	2019	4	4.5	1	4
@PHRASE养老模式	13.0	0.014618737451188753	3.5181	2014	2014	2020	7	3.5	1	0
