序号_C,提交时间_C,答题时长_C,问卷来源_C,来源详情_C,IP_C,问卷总分_C,性别_1_1_C,年龄_1_2_C,与老人居住关系_1_3_C,老人年龄_1_4_C,老人健康状况_1_5_C,居住行政区_1_6_C,为老人装过扶手_1_7_C,扶手安装场景_卫生间_2_1_1_C,扶手安装场景_床边_2_1_2_C,扶手安装场景_楼道_2_1_3_C,扶手安装场景_阳台_2_1_4_C,扶手安装场景_其他_2_1_5_C,扶手偏好类型_基础不锈钢_2_2_1_C,扶手偏好类型_可折叠_2_2_2_C,扶手偏好类型_防滑_2_2_3_C,扶手偏好类型_智能预警_2_2_4_C,扶手偏好类型_其他_2_2_5_C,可接受价格_2_3_C,服务期望_免费安装_2_4_1_C,服务期望_24小时售后_2_4_2_C,服务期望_定期维护_2_4_3_C,服务期望_上门教学_2_4_4_C,服务期望_其他_2_4_5_C,照护价值_3_1_1_C,照护价值_3_1_2_C,照护价值_3_1_3_C,照护价值_3_1_4_C,代际责任_3_2_1_C,代际责任_3_2_2_C,代际责任_3_2_3_C,代际责任_3_2_4_C,决策便利_3_3_1_C,决策便利_3_3_2_C,决策便利_3_3_3_C,决策便利_3_3_4_C,资源投入_3_4_1_C,资源投入_3_4_2_C,资源投入_3_4_3_C,资源投入_3_4_4_C,认知偏差_3_5_1_C,认知偏差_3_5_2_C,认知偏差_3_5_3_C,认知偏差_3_5_4_C,购买意愿_3_6_1_C,购买意愿_3_6_2_C,购买意愿_3_6_3_C,扶手相关问题反馈_4_1_C,外部支持需求_4_2_C
1,2026-02-25T05:10:16Z,343,微信,,117.9.236.87(天津-天津),63,2,3,2,3,2,2,1,1,0,1,0,0,0,0,1,0,0,5,1,0,1,0,0,5,2,2,2,2,2,2,1,5,5,3,4,2,3,2,2,4,2,4,2,2,2,3,现在扶手的功能太单一了，要是能集成个温度计或者小夜灯，可能会更实用。,
2,2026-02-25T05:11:54Z,300,微信,,36.106.110.61(天津-天津),73,1,3,2,3,2,2,2,1,1,1,0,0,0,1,0,0,0,3,1,0,1,1,0,2,4,3,4,4,3,3,1,4,3,2,3,4,2,4,3,3,4,4,5,4,1,3,买扶手最大的问题是不知道哪种好，网上一搜一大堆，都说自己结实，可咱也看不出来啊。,希望政府发布年度优质案例，树立标杆。
3,2026-02-25T05:13:29Z,301,微信,,111.32.61.135(天津-天津),81,2,5,2,4,1,5,2,1,1,0,1,0,0,0,0,1,0,3,1,0,1,0,0,3,3,3,3,3,5,4,3,5,4,4,3,4,4,3,3,4,2,3,3,5,4,3,有的吸盘式扶手，说明书上写可以吸在瓷砖上，但我们家瓷砖是凹凸的，根本吸不住。,
4,2026-02-25T05:13:48Z,296,微信,,101.39.8.7(北京-北京),77,1,4,2,4,3,4,2,1,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,4,2,3,2,4,4,4,4,5,4,3,4,2,2,2,2,5,3,5,5,2,3,3,希望能根据我们的身高来定高度，别一个尺寸套所有人。,政府官网信息太复杂，弄个大字版明白纸贴楼道就行。
5,2026-02-25T05:14:39Z,310,微信,,60.25.189.5(天津-天津),51,1,4,2,4,1,5,2,1,0,1,0,0,0,1,0,0,0,3,0,1,1,1,0,1,1,1,1,2,3,1,2,3,3,3,2,1,2,2,2,5,3,4,5,1,1,2,,
6,2026-02-25T05:16:12Z,278,微信,,60.27.136.137(天津-天津),73,1,1,2,2,2,4,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,3,4,1,4,5,5,4,3,2,2,2,3,4,3,4,4,2,3,4,2,4,3,扶手的边角太尖锐，没有做圆滑处理，老人不小心碰到就会受伤，设计太粗心。,能不能和长护险结合？符合条件直接免费装。
7,2026-02-25T05:17:40Z,201,微信,,218.67.233.96(天津-天津),71,2,3,3,4,1,1,1,1,0,1,1,1,0,0,1,0,0,3,0,1,0,0,0,4,4,4,4,5,4,4,4,2,3,2,1,4,2,3,3,2,1,3,2,3,3,4,,
8,2026-02-25T05:18:36Z,286,微信,,111.30.225.189(天津-天津),98,2,2,2,3,2,3,2,1,0,1,1,0,0,0,1,0,0,2,1,1,0,1,0,5,5,5,5,5,5,4,5,4,4,5,3,5,5,5,5,3,1,3,3,4,5,4,想给老人换个新的，但旧的拆下来墙上留了好几个大洞，还得找人补墙，麻烦得很。,
9,2026-02-25T05:19:44Z,347,微信,,60.27.177.236(天津-天津),102,1,4,2,3,1,5,2,1,0,1,0,0,1,0,0,0,0,3,1,0,0,1,1,5,5,5,5,5,5,4,4,5,4,5,4,5,4,5,5,3,5,3,4,5,3,4,,
10,2026-02-25T05:20:23Z,241,微信,,36.106.182.50(天津-天津),84,1,3,3,4,2,2,2,1,0,1,0,0,0,0,0,1,0,5,1,0,1,1,1,4,5,4,4,4,3,4,4,3,4,3,2,4,3,4,4,2,4,4,3,5,4,3,产品没做圆角处理，我妈有次磕到手背，青了好几天。,希望能有专门的适老化改造顾问上门评估，专业的人说话比我们管用，老人信专家。
11,2026-02-25T05:21:43Z,187,微信,,111.167.207.35(天津-天津),92,2,2,3,2,1,5,1,1,1,1,1,0,0,1,0,0,0,2,1,0,1,1,1,3,4,2,3,4,5,5,5,2,4,4,5,4,4,5,4,5,3,4,4,5,5,3,政府能不能统一采购？这样质量有保证，价格肯定比外面便宜。,希望社区能提供免费的扶手维护服务，定期上门检查、拧紧螺丝，让老人用得放心，也让我们子女少操心。
12,2026-02-25T05:23:09Z,270,微信,,111.32.106.107(天津-天津),102,2,1,1,2,1,3,2,1,1,1,0,0,0,1,0,0,0,4,1,0,1,0,0,5,5,4,4,5,4,5,4,4,5,5,4,5,3,5,5,3,4,5,4,5,4,5,,
13,2026-02-25T05:24:45Z,299,微信,,111.33.232.159(天津-天津),76,2,4,3,4,2,5,1,1,1,0,1,1,0,0,0,0,1,2,1,0,0,1,0,4,4,3,3,5,3,3,4,2,3,2,3,3,4,3,3,5,5,4,4,1,2,3,网格员要是能来家里帮忙量量尺寸就好了，我们自己量不准。,别光发传单，搞个现场体验活动，让爸妈亲手试试不同款式。
14,2026-02-25T05:25:32Z,221,微信,,218.69.226.108(天津-天津),96,2,2,1,3,3,2,2,0,0,1,0,1,0,0,1,0,0,2,1,0,1,0,0,5,4,4,5,5,5,5,5,4,5,4,5,3,4,4,4,4,3,4,3,4,3,4,,
15,2026-02-25T05:25:38Z,257,微信,,111.162.129.231(天津-天津),63,1,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,2,1,0,1,1,0,3,3,3,1,3,2,3,3,3,1,2,3,3,3,3,3,3,1,1,2,4,5,5,,我觉得还可以把防跌倒和智慧养老结合起来，比如扶手带报警功能，但操作得简单，一按就行。
16,2026-02-25T05:26:54Z,354,微信,,111.162.183.75(天津-天津),85,1,3,2,4,3,4,2,1,0,1,1,0,0,0,1,0,0,2,1,0,0,1,0,5,5,4,4,4,3,4,4,5,5,3,5,5,4,5,3,1,1,3,1,3,4,4,安装师傅上门只管拧螺丝，根本不问老人怎么起身、习惯哪边借力。,希望政府能出台规定，要求新建小区必须安装防跌倒扶手，这样老人住进去就自然有保障了。
17,2026-02-25T05:28:36Z,271,微信,,111.31.185.34(天津-天津),79,2,3,3,3,2,5,2,1,1,0,0,1,1,0,0,0,0,2,0,1,1,0,0,3,3,4,3,4,4,5,5,3,5,4,5,4,4,4,4,2,1,1,2,2,3,4,,能不能和社区食堂联动？吃饭时放个宣传屏，潜移默化。
