序号_C,提交时间_C,答题时长_C,问卷来源_C,来源详情_C,问卷总分_C,性别_1_1_C,年龄_1_2_C,与老人居住关系_1_3_C,老人年龄_1_4_C,老人健康状况_1_5_C,居住行政区_1_6_C,为老人装过扶手_1_7_C,扶手安装场景_卫生间_2_1_1_C,扶手安装场景_床边_2_1_2_C,扶手安装场景_楼道_2_1_3_C,扶手安装场景_阳台_2_1_4_C,扶手安装场景_其他_2_1_5_C,扶手偏好类型_基础不锈钢_2_2_1_C,扶手偏好类型_可折叠_2_2_2_C,扶手偏好类型_防滑_2_2_3_C,扶手偏好类型_智能预警_2_2_4_C,扶手偏好类型_其他_2_2_5_C,可接受价格_2_3_C,服务期望_免费安装_2_4_1_C,服务期望_24小时售后_2_4_2_C,服务期望_定期维护_2_4_3_C,服务期望_上门教学_2_4_4_C,服务期望_其他_2_4_5_C,照护价值_3_1_1_C,照护价值_3_1_2_C,照护价值_3_1_3_C,照护价值_3_1_4_C,代际责任_3_2_1_C,代际责任_3_2_2_C,代际责任_3_2_3_C,代际责任_3_2_4_C,决策便利_3_3_1_C,决策便利_3_3_2_C,决策便利_3_3_3_C,决策便利_3_3_4_C,资源投入_3_4_1_C,资源投入_3_4_2_C,资源投入_3_4_3_C,资源投入_3_4_4_C,认知偏差_3_5_1_C,认知偏差_3_5_2_C,认知偏差_3_5_3_C,认知偏差_3_5_4_C,购买意愿_3_6_1_C,购买意愿_3_6_2_C,购买意愿_3_6_3_C,扶手相关问题反馈_4_1_C,外部支持需求_4_2_C
1,2026-02-23T08:41:44Z,206,微信,,62,2,3,1,2,3,1,1,1,0,1,0,0,0,0,0,0,1,2,1,0,0,1,0,1,1,2,1,4,4,5,4,1,2,2,3,3,3,2,3,4,3,3,4,3,2,2,售后电话永远占线，报修三次才有人回，拖了半个月才处理。,宣传时多用真实故事，比如“李伯装了扶手后敢自己洗澡了”，比数据打动人。
2,2026-02-23T08:43:08Z,264,微信,,71,2,4,2,3,2,5,2,1,0,1,1,1,0,1,0,0,0,3,1,0,1,0,1,4,3,2,4,2,2,4,4,1,2,2,3,4,4,3,4,4,3,2,3,4,4,3,,
3,2026-02-23T08:45:29Z,224,微信,,76,2,2,3,3,2,3,1,1,1,1,1,0,0,1,0,0,0,2,0,0,1,1,1,3,2,3,2,3,3,4,4,3,4,4,4,3,4,4,3,4,3,3,4,3,3,3,社区推荐的供应商只做工程单，不接散户，我们个人根本买不到。,多和子女沟通渠道，比如在政务APP里设个“为父母申请”入口，信息更直达。
4,2026-02-23T08:48:47Z,251,微信,,60,2,1,1,2,2,2,2,1,0,1,0,1,0,0,0,1,0,3,1,0,0,0,0,1,2,1,1,2,3,3,3,3,4,3,3,3,3,2,2,1,2,1,2,5,5,5,想装L型转角扶手，结果要拼接，接口处明显松动，安全隐患大。,安装师傅态度要耐心，多解释几句怎么用、怎么保养，老人记性差但愿意听。
5,2026-02-23T08:51:05Z,218,微信,,83,2,1,1,2,2,5,1,1,1,1,1,0,1,0,0,0,0,2,1,1,1,1,0,5,4,5,5,3,2,2,1,4,5,4,5,4,3,4,3,3,3,5,4,3,4,2,安装后没人教怎么检查松动，等发现晃了已经晚了。,材料别有刺鼻味，老人呼吸道敏感，环保检测报告能不能公开查？
6,2026-02-23T08:52:29Z,243,微信,,67,2,4,2,4,3,4,2,1,1,1,0,0,0,0,1,0,0,3,1,0,1,0,0,5,4,4,4,1,2,3,2,2,2,2,2,3,3,5,2,4,5,5,4,1,1,1,,
7,2026-02-23T08:54:18Z,230,微信,,106,2,3,3,3,1,5,2,1,0,1,1,1,0,1,0,0,0,2,1,0,1,1,0,5,5,4,5,4,5,3,5,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,没有试用期，装上去不合适也不能退，风险全在消费者身上。,价格别虚高，政府集采压一压成本，百来块我们愿意掏，上千真犹豫。
8,2026-02-23T08:55:00Z,197,微信,,103,2,2,3,1,1,3,1,1,0,1,0,0,0,0,1,0,0,2,0,1,0,1,0,4,5,5,4,4,5,5,5,4,4,3,4,5,5,5,5,4,4,4,4,5,5,5,,
9,2026-02-23T08:56:45Z,313,微信,,89,2,1,2,2,1,1,2,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,3,5,5,4,4,5,3,4,3,4,3,3,4,3,3,4,4,5,5,5,3,3,4,,
10,2026-02-23T08:58:40Z,247,微信,,110,1,4,2,3,2,6,2,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,5,4,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5,说明书字小如蚁，还全是专业术语，老人看了直摇头。,多办几场防跌倒讲座，现场演示扶手怎么救急，比发传单有效。
11,2026-02-23T09:00:15Z,312,微信,,74,1,3,3,4,3,5,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,3,4,4,5,4,3,3,4,2,4,4,2,2,4,2,3,2,1,2,2,5,4,5,高端款功能多但操作复杂，基础款又太简陋，中间档选择太少。,高层住户搬运难，社区能不能协调电梯优先送货，或者帮忙搬上楼？
12,2026-02-23T09:01:38Z,226,微信,,91,2,1,2,2,1,3,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,4,4,4,4,5,3,3,4,4,3,4,3,4,4,5,4,5,3,4,4,4,4,5,想给老人装个带夜灯的，结果市面上不是太贵就是电池不耐用。,安装完没人回访，不知道牢不牢，隔一两个月派人上门检查下才安心。
13,2026-02-23T09:02:34Z,233,微信,,57,1,4,2,4,3,1,2,0,0,1,0,1,0,0,1,0,0,3,1,1,1,0,0,2,3,3,4,4,3,3,3,1,1,1,2,1,2,2,1,4,4,4,5,1,1,2,,
14,2026-02-23T09:04:24Z,248,微信,,90,2,3,3,4,3,5,1,1,1,1,0,0,0,0,0,1,0,3,1,0,1,0,1,2,3,3,2,4,4,4,4,4,5,5,4,4,4,4,4,4,5,4,5,4,4,4,,
15,2026-02-23T09:06:43Z,319,微信,,103,1,5,2,4,1,2,1,1,1,0,0,1,0,0,1,0,0,2,1,1,0,1,0,4,4,5,4,4,5,5,5,4,3,3,2,5,5,5,5,5,5,5,5,5,5,5,,
16,2026-02-23T09:07:27Z,275,微信,,60,2,3,3,3,2,4,1,1,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,2,2,3,3,4,4,5,5,1,2,1,1,2,2,2,3,3,5,3,4,1,1,1,,
17,2026-02-23T09:08:35Z,327,微信,,90,2,4,2,3,1,4,1,1,1,1,1,0,0,0,0,1,0,4,1,1,1,0,0,5,3,3,3,4,5,4,5,5,4,3,3,3,4,3,2,5,4,4,5,5,4,4,,
18,2026-02-23T09:09:07Z,257,微信,,76,2,4,2,4,2,2,2,1,0,1,1,0,0,1,0,0,0,3,1,0,1,1,0,3,3,4,3,4,5,5,3,3,2,2,2,4,3,3,4,3,3,2,3,4,5,3,,
19,2026-02-23T09:11:27Z,298,微信,,97,1,1,2,4,1,5,2,1,1,0,1,1,1,0,0,0,0,2,0,0,1,1,0,5,5,4,4,5,4,4,4,4,2,4,3,5,4,4,4,4,5,4,5,4,5,5,,
20,2026-02-23T09:13:46Z,262,微信,,98,2,5,2,4,2,3,2,1,0,1,0,0,0,0,0,1,0,5,1,1,1,0,0,5,4,3,4,4,5,4,4,4,4,3,5,4,4,5,3,5,4,5,5,5,4,5,,
21,2026-02-23T09:14:07Z,246,微信,,81,1,2,2,1,2,4,2,1,1,1,0,1,0,0,1,0,0,2,0,1,0,0,0,4,4,2,3,4,3,4,2,3,3,4,3,5,5,5,4,3,2,3,2,4,4,5,实体店几乎看不到样品，只能对着手机图片猜手感，太不靠谱了。,老人总觉得“没摔过就不需要”，得请医生或社工上门讲讲风险，他们更信权威。
22,2026-02-23T09:15:30Z,187,微信,,56,1,2,2,1,2,5,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,3,3,1,3,3,4,3,1,1,1,2,3,4,3,3,3,4,3,3,1,1,1,,
23,2026-02-23T09:16:29Z,323,微信,,89,2,4,2,4,2,2,2,1,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0,3,5,4,3,3,3,2,4,4,5,4,3,4,4,4,4,5,5,5,5,4,3,3,,
24,2026-02-23T09:16:55Z,281,微信,,71,1,3,2,2,1,3,2,1,0,1,0,0,1,0,0,0,0,3,1,0,0,0,0,4,5,4,3,2,3,2,2,3,2,3,2,5,3,3,3,2,2,2,2,4,5,5,,
25,2026-02-23T09:18:36Z,232,微信,,66,2,4,3,3,1,1,1,1,0,1,1,0,0,0,0,1,0,5,0,1,0,0,0,1,2,3,2,4,5,4,3,2,3,3,3,3,3,3,2,2,3,2,4,4,2,3,,
26,2026-02-23T09:19:23Z,259,微信,,109,2,1,2,1,1,5,2,0,1,1,1,0,0,0,1,0,0,2,1,1,1,0,1,5,5,4,5,4,3,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,价格差得离谱，同样不锈钢扶手，从三十到三百都有，不知道信哪个。,安装时间灵活点，别只周末来，很多老人白天在家，工作日反而方便。
