序号_E,提交时间_E,答题时长_E,问卷来源_E,来源详情_E,IP_E,问卷总分_E,性别_1_1_E,年龄_1_2_E,健康状况_1_3_E,居住行政区_1_4_E,养老居住场景_1_5_E,居家跌倒经历_1_6_E,已装扶手_1_7_E,扶手安装场景_卫生间_2_1_1_E,扶手安装场景_床边_2_1_2_E,扶手安装场景_楼道_2_1_3_E,扶手安装场景_阳台_2_1_4_E,扶手安装场景_其他_2_1_5_E,扶手偏好类型_基础不锈钢_2_2_1_E,扶手偏好类型_可折叠_2_2_2_E,扶手偏好类型_防滑_2_2_3_E,扶手偏好类型_智能预警_2_2_4_E,扶手偏好类型_其他_2_2_5_E,可接受价格_2_3_E,补贴期望_提高力度_2_4_1_E,补贴期望_简化流程_2_4_2_E,补贴期望_差异化补贴_2_4_3_E,补贴期望_社区代办_2_4_4_E,补贴期望_其他_2_4_5_E,风险收益_3_1_1_E,风险收益_3_1_2_E,风险收益_3_1_3_E,风险收益_3_1_4_E,社会支持_3_2_1_E,社会支持_3_2_2_E,社会支持_3_2_3_E,社会支持_3_2_4_E,政策适配_3_3_1_E,政策适配_3_3_2_E,政策适配_3_3_3_E,政策适配_3_3_4_E,生活依赖_3_4_1_E,生活依赖_3_4_2_E,生活依赖_3_4_3_E,生活依赖_3_4_4_E,使用意愿_3_5_1_E,使用意愿_3_5_2_E,使用意愿_3_5_3_E,产品设计改进建议_4_1_E,政府社区支持建议_4_2_E
1,2026-02-25T05:10:05Z,278,微信,,111.30.219.176(天津-天津),40,1,1,1,1,1,1,2,1,0,1,1,1,0,1,0,0,0,4,1,0,0,0,0,3,3,2,1,4,3,3,3,1,1,1,1,2,1,1,2,3,2,3,,
2,2026-02-25T05:11:00Z,320,微信,,117.12.66.231(天津-天津),83,2,3,2,3,2,2,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,4,5,5,5,3,4,5,5,4,3,5,3,4,5,5,4,5,5,4,扶手颜色和瓷砖形成对比，视力不好也能看清。,
3,2026-02-25T05:11:35Z,276,微信,,60.24.211.205(天津-天津),66,2,1,1,3,2,2,2,1,0,1,1,1,1,0,0,0,0,2,1,1,1,0,1,3,3,2,3,4,4,3,3,3,3,3,4,5,4,4,5,3,4,3,希望轻量化但不减强度，铝合金可能比纯钢合适。,
4,2026-02-25T05:11:57Z,194,微信,,111.32.71.88(天津-天津),61,2,1,1,4,1,1,2,1,0,1,0,0,0,0,1,0,0,2,1,0,0,0,1,3,3,4,2,3,3,4,4,2,2,4,3,3,4,2,5,3,4,3,拆装方便点，以后搬家或者打扫能拆下来。,希望社区能建立个防跌倒扶手的用户交流群，老人能在群里分享使用经验和心得。政府呢，给社区提供点技术支持，让群能正常运行。
5,2026-02-25T05:12:35Z,256,微信,,117.9.236.246(天津-天津),91,2,1,1,2,1,1,1,1,1,1,1,0,0,0,1,0,0,2,1,1,1,1,0,5,4,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,,
6,2026-02-25T05:14:20Z,304,微信,,106.47.66.140(天津-天津),85,2,2,1,5,1,1,2,1,1,0,1,1,0,0,0,0,1,2,1,0,1,1,0,5,5,5,5,5,5,4,4,4,4,4,3,3,5,5,5,5,4,5,,
7,2026-02-25T05:14:24Z,235,微信,,111.162.220.219(天津-天津),68,1,1,1,5,1,2,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,3,5,4,3,3,3,4,3,4,4,4,4,4,3,5,4,2,4,2,建议和智能手环联动，跌倒自动报警。,
8,2026-02-25T05:16:54Z,343,微信,,117.12.232.123(天津-天津),66,2,2,2,4,3,1,2,1,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,3,2,3,3,4,4,5,4,3,3,4,3,4,4,4,5,3,2,3,,
9,2026-02-25T05:18:12Z,213,微信,,117.10.220.148(天津-天津),73,2,3,2,4,3,1,1,0,0,1,1,0,1,0,0,0,0,2,1,1,0,1,0,5,5,5,5,4,3,5,4,4,2,3,4,3,3,3,3,5,4,3,我看有的扶手是折叠椅，那个挺好，就是坐垫太硬，得改进。,希望公共区域的扶手能耐用一点，别用不了多久就坏了，反复更换也浪费钱。
10,2026-02-25T05:19:58Z,200,微信,,180.213.151.112(天津-天津),79,1,2,1,2,2,1,2,0,1,1,1,0,0,0,1,0,0,2,1,0,1,0,0,4,4,4,4,4,5,5,4,5,4,4,5,3,3,3,3,5,5,5,,
11,2026-02-25T05:22:04Z,228,微信,,111.162.183.0(天津-天津),79,2,2,1,5,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,4,5,4,5,3,4,2,4,5,5,4,4,3,5,4,4,4,5,5,,
12,2026-02-25T05:22:32Z,267,微信,,42.80.80.163(天津-天津),65,2,1,1,6,1,1,2,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,4,3,3,2,4,3,3,4,4,4,4,3,3,4,3,3,4,3,4,,
13,2026-02-25T05:24:29Z,191,微信,,180.212.89.211(天津-天津),76,1,4,3,5,2,1,2,1,0,1,1,0,0,0,0,1,0,5,0,0,0,1,0,5,5,4,4,5,3,4,3,4,4,5,5,3,3,3,3,4,4,5,有些扶手晃动明显，螺丝没拧紧还是支架太细？,
14,2026-02-25T05:26:59Z,287,微信,,218.69.226.108(天津-天津),72,1,1,1,5,2,2,2,1,0,1,1,0,0,0,1,0,0,2,0,1,1,0,0,4,4,5,5,3,4,3,4,4,4,5,5,3,1,2,2,5,5,4,,
15,2026-02-25T05:27:52Z,349,微信,,111.33.254.48(天津-天津),57,2,4,3,5,2,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,2,3,1,2,4,3,4,3,5,4,4,2,3,1,4,3,2,3,4,,
16,2026-02-25T05:29:01Z,191,微信,,103.63.155.225(辽宁-沈阳),75,1,1,1,1,2,1,2,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,5,5,4,5,3,4,4,4,4,4,4,5,3,4,2,3,4,4,4,,
17,2026-02-25T05:31:14Z,195,微信,,111.33.219.2(天津-天津),78,2,2,2,5,1,2,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,2,3,4,2,4,4,4,5,3,5,4,5,5,5,4,5,4,5,5,,
18,2026-02-25T05:33:05Z,284,微信,,111.161.188.100(天津-天津),42,1,3,2,1,1,1,2,1,0,1,1,1,0,0,1,0,0,4,0,1,1,0,0,1,3,2,1,2,2,2,3,2,3,2,2,3,3,2,2,2,2,3,,
19,2026-02-25T05:33:17Z,250,微信,,36.106.187.10(天津-天津),75,2,2,1,6,1,2,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,4,5,4,4,4,5,4,3,3,4,2,3,5,4,5,5,5,3,3,,
20,2026-02-25T05:35:34Z,355,微信,,125.38.104.50(天津-天津),59,2,2,2,2,1,1,1,0,0,1,1,0,0,0,1,0,0,3,0,1,0,0,0,3,3,2,2,3,5,5,5,2,3,2,3,3,2,3,4,2,3,4,,
21,2026-02-25T05:37:15Z,212,微信,,36.106.190.195(天津-天津),51,2,1,1,5,1,2,1,1,0,1,1,1,1,0,0,0,0,2,1,1,0,1,0,5,5,4,4,4,1,3,2,2,1,2,3,1,2,3,2,2,3,2,,
22,2026-02-25T05:39:19Z,334,微信,,60.25.189.5(天津-天津),44,1,3,1,2,1,2,1,1,0,1,1,0,0,0,0,1,0,3,0,0,1,0,0,2,3,4,4,3,3,2,2,3,1,1,2,2,2,2,2,2,3,1,,
23,2026-02-25T05:39:42Z,199,微信,,103.63.155.18(辽宁-沈阳),45,2,1,1,4,2,1,2,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,4,4,3,4,3,2,1,2,1,2,1,1,3,3,3,3,3,1,1,,
