序号_E,提交时间_E,答题时长_E,问卷来源_E,来源详情_E,问卷总分_E,性别_1_1_E,年龄_1_2_E,健康状况_1_3_E,居住行政区_1_4_E,养老居住场景_1_5_E,居家跌倒经历_1_6_E,已装扶手_1_7_E,扶手安装场景_卫生间_2_1_1_E,扶手安装场景_床边_2_1_2_E,扶手安装场景_楼道_2_1_3_E,扶手安装场景_阳台_2_1_4_E,扶手安装场景_其他_2_1_5_E,扶手偏好类型_基础不锈钢_2_2_1_E,可接受价格_2_3_E,补贴期望_提高力度_2_4_1_E,补贴期望_简化流程_2_4_2_E,补贴期望_差异化补贴_2_4_3_E,补贴期望_社区代办_2_4_4_E,补贴期望_其他_2_4_5_E,风险收益_3_1_1_E,风险收益_3_1_2_E,风险收益_3_1_3_E,风险收益_3_1_4_E,社会支持_3_2_1_E,社会支持_3_2_2_E,社会支持_3_2_3_E,社会支持_3_2_4_E,政策适配_3_3_1_E,政策适配_3_3_2_E,政策适配_3_3_3_E,政策适配_3_3_4_E,生活依赖_3_4_1_E,生活依赖_3_4_2_E,生活依赖_3_4_3_E,生活依赖_3_4_4_E,使用意愿_3_5_1_E,使用意愿_3_5_2_E,使用意愿_3_5_3_E,产品设计改进建议_4_1_E,政府社区支持建议_4_2_E
1,2026-02-23T07:44:13Z,250,微信,,47,2,1,1,4,1,1,2,1,1,1,1,0,3,5,1,1,1,0,1,4,4,3,3,1,2,2,3,2,2,1,1,4,1,2,1,5,3,3,,
2,2026-02-23T07:44:29Z,342,微信,,83,1,1,1,5,2,2,2,0,0,1,1,1,2,3,1,0,0,0,1,4,5,4,4,3,5,5,4,5,4,4,3,5,4,4,5,5,5,5,,
3,2026-02-23T07:45:00Z,264,微信,,69,2,2,1,2,2,1,2,1,1,1,1,0,1,2,1,1,1,0,0,3,4,4,5,2,3,2,1,4,4,3,4,4,5,4,4,4,5,4,,
4,2026-02-23T07:45:32Z,292,微信,,66,2,2,2,4,2,1,2,1,1,1,0,0,3,2,1,0,0,1,1,4,4,4,3,4,2,3,3,3,4,3,4,3,4,4,3,2,4,5,扶手承重标得含糊，到底能撑多少斤？写清楚点我们才敢放心用。,多听听我们老人意见，别光听厂家推销，他们说的好多不实用。
5,2026-02-23T07:46:24Z,225,微信,,83,1,2,1,5,2,1,2,0,0,1,1,0,1,2,1,0,1,0,0,5,5,4,4,4,3,4,3,5,5,4,5,4,4,5,4,5,5,5,,
6,2026-02-23T07:47:38Z,197,微信,,85,2,1,1,5,1,2,1,1,1,0,1,0,2,2,0,0,0,0,1,5,5,5,5,4,5,5,4,3,5,2,3,5,5,5,5,5,5,4,,
7,2026-02-23T07:49:37Z,312,微信,,62,2,2,1,5,1,2,1,1,1,1,0,1,2,2,1,1,1,0,1,3,3,3,2,3,4,3,3,4,5,3,3,3,4,3,4,2,4,3,,
8,2026-02-23T07:50:31Z,230,微信,,71,1,3,1,2,1,1,2,1,0,1,0,0,2,2,1,1,0,1,0,5,5,5,5,2,2,4,2,5,3,4,5,4,4,4,2,3,3,4,,
9,2026-02-23T07:52:25Z,267,微信,,78,2,1,1,6,1,1,2,1,1,1,1,0,2,1,1,0,0,0,0,5,4,5,5,5,5,5,5,2,3,2,2,4,5,5,4,5,3,4,安装太高了，我个子矮，踮脚都够不着，能不能做短一点或者可调节的？,安装费用太高了，要是能补贴一半，我们老两口就敢装了。
10,2026-02-23T07:54:35Z,253,微信,,75,2,3,1,2,1,1,1,1,0,1,1,0,3,2,1,1,0,0,0,4,4,5,3,5,5,3,5,4,5,5,4,2,2,2,5,4,4,4,表面别喷漆，掉漆后更滑，本色阳极氧化处理更耐用。,安装师傅态度要好，别嫌我们啰嗦，多解释几句我们才放心。
11,2026-02-23T07:56:29Z,332,微信,,80,2,2,1,3,1,1,1,1,0,1,0,0,5,4,1,0,0,0,0,5,3,3,4,5,4,4,4,4,5,4,4,4,4,5,5,4,5,4,,
12,2026-02-23T07:56:57Z,251,微信,,62,1,4,3,4,2,1,2,1,1,1,1,0,2,5,1,1,0,0,0,4,5,2,4,3,3,4,5,3,2,5,4,3,2,3,3,2,3,2,材料别用那种反光的，阳光一照晃眼睛，年纪大了受不了强光。,安装时间别卡在上班点，我们白天在家，师傅却只周末来，总约不上。
13,2026-02-23T07:58:43Z,300,微信,,74,2,4,3,2,2,2,1,1,1,1,1,0,3,2,0,0,1,1,0,3,2,3,3,3,4,5,4,3,5,3,4,4,3,5,5,5,5,5,别光考虑坐姿起身，站着洗澡也需要横向扶手，设计要全面些。,扶手旁边贴个紧急联系卡，万一摔倒还能顺手求救。
14,2026-02-23T07:59:51Z,218,微信,,75,2,2,3,4,2,2,2,1,1,1,0,1,3,3,1,0,0,0,0,4,4,4,5,5,4,5,5,5,5,4,3,2,2,2,3,4,5,4,,
15,2026-02-23T08:00:18Z,235,微信,,57,1,1,1,4,1,2,2,1,1,0,1,0,4,3,1,1,1,0,0,3,2,4,4,3,2,3,3,5,5,4,4,1,2,2,2,3,3,2,安装别只靠胶粘，时间久了掉下来砸人，螺丝加胶双保险才安心。,希望和家庭医生签约时一并评估跌倒风险，自动推送扶手服务。
16,2026-02-23T08:01:15Z,285,微信,,77,2,2,1,2,1,1,1,0,0,0,1,0,1,3,0,1,0,0,0,5,4,4,4,4,4,4,5,4,4,4,4,4,3,3,4,5,4,4,最重要的是——别等我们摔了才想到改，提前听听老人怎么说。,最要紧的是——别把我们当负担，而是当成值得被好好照顾的人。
17,2026-02-23T08:02:29Z,313,微信,,85,2,2,2,2,2,1,2,1,1,1,0,0,5,4,1,0,1,0,0,3,5,4,3,5,4,4,4,5,5,5,5,4,5,4,5,5,5,5,颜色别太素，跟瓷砖混一块儿找不到，亮黄或橙红一眼就能看见。,多和子女沟通，有些孩子愿意出钱但不知道去哪申请，信息要透明。
18,2026-02-23T08:03:00Z,234,微信,,43,2,1,1,3,1,2,2,1,1,1,0,1,3,2,1,1,0,0,0,1,2,2,3,1,1,2,2,1,3,2,3,4,2,3,3,2,2,4,,
19,2026-02-23T08:03:53Z,195,微信,,60,2,2,3,1,1,2,1,1,0,1,1,0,1,2,0,0,1,0,0,4,4,4,5,2,2,2,2,3,5,2,4,2,3,2,3,3,3,5,承重测试得真实，别纸上写150公斤，实际八十就晃，我们信不过。,扶手设计别只考虑坐姿，站着洗碗、晾衣服也需要临时支撑。
20,2026-02-23T08:03:57Z,298,微信,,70,2,1,1,4,1,1,2,1,1,1,0,0,2,4,0,1,0,0,0,4,4,5,4,4,2,2,3,4,4,3,3,4,4,5,3,4,4,4,,
21,2026-02-23T08:04:42Z,335,微信,,53,2,1,1,6,1,2,2,1,0,1,1,1,1,3,0,0,0,1,0,4,4,4,4,4,4,4,4,1,2,2,2,2,3,1,2,2,2,2,我试过那种带灯的，但开关太小，指甲厚按不动，要是能声控或者感应就省事了。,装完没人教怎么用，我对着那个按钮愣了半天，最好配个简单图解贴墙上。
22,2026-02-23T08:06:54Z,205,微信,,40,1,1,1,2,2,2,2,1,1,1,1,0,1,2,1,1,0,0,0,3,2,3,4,3,2,2,2,1,2,1,1,2,2,3,2,2,1,2,,
23,2026-02-23T08:09:19Z,273,微信,,52,2,3,2,3,3,2,1,1,0,0,1,0,2,3,1,0,0,0,0,4,3,2,4,3,2,3,3,2,2,1,3,4,3,4,4,1,1,3,,
