序号_C,聚类标签_C
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,1
9,1
10,1
11,1
12,1
13,2
14,1
15,2
16,1
17,1
18,1
19,2
20,1
21,1
22,1
23,1
24,1
25,2
26,1
27,2
28,2
29,2
30,1
31,1
32,1
33,2
34,1
35,2
36,2
37,1
38,1
39,1
40,1
41,1
42,2
43,2
44,1
45,1
46,2
47,2
48,1
49,2
50,1
51,1
52,1
53,1
54,2
55,1
56,2
57,1
58,1
59,2
60,1
61,1
62,2
63,2
64,1
65,2
66,2
67,2
68,2
69,1
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,1
78,1
79,1
80,2
81,1
82,1
83,2
84,2
85,2
86,1
87,1
88,2
89,2
90,1
91,1
92,1
93,1
94,1
95,2
96,2
97,1
98,2
99,1
100,2
101,1
102,1
103,1
104,2
105,1
106,1
107,2
108,2
109,2
110,1
111,1
112,1
113,2
114,2
115,1
116,1
117,1
118,2
119,2
120,1
121,2
122,1
123,2
124,1
125,2
126,2
127,1
128,2
129,1
130,1
131,1
132,1
133,1
134,2
135,2
136,2
137,2
138,1
139,2
140,2
141,1
142,1
143,2
144,1
145,1
146,1
147,2
148,1
149,2
150,2
151,1
152,1
153,1
154,2
155,1
156,1
157,1
158,1
159,1
160,1
161,2
162,2
163,1
164,2
165,1
166,1
167,1
168,2
169,1
170,1
171,2
172,2
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,2
181,2
182,1
183,2
184,2
185,1
186,1
187,2
188,2
189,2
190,1
191,1
192,1
193,2
194,1
195,1
196,2
197,1
198,1
199,1
200,1
201,1
202,2
203,2
204,1
205,2
206,2
207,1
208,1
209,2
210,2
211,1
212,2
213,2
214,1
215,1
216,2
217,2
218,2
219,1
220,1
221,2
222,1
223,2
224,2
225,1
226,1
227,1
228,1
229,2
230,2
231,1
232,1
233,2
234,2
235,1
236,2
237,1
238,1
239,1
240,2
241,1
242,2
243,1
244,1
245,2
246,1
247,1
248,2
249,2
250,1
251,1
252,1
253,1
254,2
255,2
256,1
257,2
258,1
259,1
260,2
261,1
262,1
263,2
264,1
265,2
266,2
267,1
268,1
269,2
270,1
271,2
272,2
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,2
285,1
286,2
287,2
288,2
289,1
290,1
291,2
292,1
293,2
294,2
295,1
296,1
297,2
298,1
299,2
300,2
301,1
302,1
303,1
304,2
305,2
306,2
307,2
308,2
309,1
310,1
311,1
312,2
313,1
314,2
315,1
316,1
317,2
318,2
319,1
320,1
321,1
322,1
323,2
324,1
325,2
326,1
327,1
328,2
329,1
330,2
331,1
332,2
333,1
334,1
335,2
336,2
337,1
338,2
339,2
340,1
341,1
342,1
343,2
344,2
345,1
346,1
347,2
348,2
349,1
350,1
351,2
352,1
353,1
354,1
355,1
356,1
357,2
358,1
359,1
360,2
361,2
362,1
363,2
364,2
365,1
366,1
367,1
368,1
369,2
370,1
371,2
372,1
373,1
374,2
375,1
376,1
377,2
378,1
379,2
380,1
381,1
382,2
383,2
384,1
385,1
386,1
387,2
388,1
389,1
390,1
391,2
392,1
393,1
394,1
395,2
396,2
397,2
398,2
